shp_s,shp_p,shp_i,x,y,objectid,lsoa11cd,lsoa11nm,lsoa11nmw,st_areasha,st_lengths,lon,lat
7842,0,14,434216.2207662359,385132.5442485695,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.4873163016740438,53.361965572081914
7842,0,15,434146.5678861143,385052.5856835924,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.4883714932576144,53.36125137232727
7842,0,16,434095.18501354527,385121.8291010952,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.4891361069001274,53.36187705510386
7842,0,17,434044.9061115862,385107.8156326037,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.4898930875515979,53.36175432774132
7842,0,18,433921.40237520967,385127.1494275007,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.4917467495448353,53.36193601700577
7842,0,19,433902.05144519726,385180.9852040421,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.492031759995626,53.36242114409373
7842,0,20,433830.23750209436,385028.7416049556,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.4931270619751678,53.361057323427794
7842,0,21,433807.7165289809,385001.88139635976,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.4934683112540752,53.360817332499586
7842,0,22,433744.10171670397,385091.3707382062,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.4944146312119562,53.361625736788085
7842,0,23,433692.56282456545,385095.2792386404,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.495188621712985,53.36166414335455
7842,0,24,433632.37290641887,385046.0006595882,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.4960982381746661,53.36122503374231
7842,0,25,433571.6860574676,385080.0830687329,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.4970064837534955,53.36153521958783
7842,0,26,433619.05205757933,385193.9825251434,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.496282712927546,53.36255597865954
7842,0,27,433601.94811954175,385223.5083641203,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.4965365897618432,53.3628224484779
7842,0,28,433554.2072224343,385222.798917075,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.4972540232430591,53.36281909375953
7842,0,29,433467.5525567631,385369.8881539503,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.4985405888749719,53.36414664543033
7842,0,30,433408.24968738237,385363.4436164594,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.4994323849145779,53.36409245850349
7842,0,31,433409.05277258286,385445.98066203535,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.4994116264609503,53.36483427298308
7842,0,32,433527.1324906467,385446.8167050475,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.4976371792163001,53.36483433718064
7842,0,33,433488.7016336674,385499.15537997714,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.4982091471051577,53.36530719880206
7842,0,34,433508.6086189186,385534.78856126795,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.497906242246547,53.36562622201879
7842,0,35,433615.31536692096,385550.2344807322,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.4963011165626277,53.36575830205306
7842,0,36,433648.1062454019,385501.5447674961,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.4958135284785297,53.365318586999656
7842,0,37,433700.3821348301,385524.59221700457,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.4950255330024782,53.36552242461891
7842,0,38,433837.3828349416,385587.3053665611,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.4929601318413492,53.36607738411732
7842,0,39,433808.323929389,385619.2081039332,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.4933934063643284,53.36636598720182
7842,0,40,433836.4688628757,385628.51333577075,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.4929694710615666,53.36644783020491
7842,0,41,433826.05158624286,385711.9851949814,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.4931171144274795,53.367198761082
7842,0,42,433819.050909068,385766.9840903106,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.4932164543112494,53.36769355160512
7842,0,43,433662.47941761103,385755.982809808,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.4955705448832761,53.36760463012221
7842,0,44,433643.4379113621,385798.17462019116,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.495852221209347,53.367985069214846
7842,0,45,433712.4644569152,385821.36716897646,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.4948124329946286,53.368189146562706
7842,0,46,433837.38866401673,385862.5651590307,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.4929306824454849,53.368551488795184
7842,0,47,433885.23725701205,385887.1715291909,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.4922089811305366,53.368769601967955
7842,0,48,433918.5495810554,385855.48482999345,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.4917117466430831,53.36848266444976
7842,0,49,433985.8598573363,385903.07733726467,7843,E01008049,Sheffield 050D,Sheffield 050D,423678.56389,3875.8655754700394,-1.4906951046399741,53.36890612853211
7843,0,0,433229.5053228573,385529.68819335074,7844,E01008050,Sheffield 046E,Sheffield 046E,154773.8044705,2372.8062544986883,-1.50210088246339,53.365597937108966
7843,0,1,433193.97836646857,385478.2068820036,7844,E01008050,Sheffield 046E,Sheffield 046E,154773.8044705,2372.8062544986883,-1.502640134507806,53.36513743359411
7843,0,2,433171.05340230424,385450.9786846656,7844,E01008050,Sheffield 046E,Sheffield 046E,154773.8044705,2372.8062544986883,-1.5029874724278103,53.36489413326655
7843,0,3,433215.0521976896,385386.97896552755,7844,E01008050,Sheffield 046E,Sheffield 046E,154773.8044705,2372.8062544986883,-1.5023330102177668,53.3643161331486
7843,0,4,433005.18769234495,385268.78524024575,7844,E01008050,Sheffield 046E,Sheffield 046E,154773.8044705,2372.8062544986883,-1.5054988586877749,53.36326687449793
7843,0,5,432991.0325833372,385128.3619867838,7844,E01008050,Sheffield 046E,Sheffield 046E,154773.8044705,2372.8062544986883,-1.5057261558074635,53.36200559161016
