shp_s,shp_p,shp_i,x,y,objectid,lsoa11cd,lsoa11nm,lsoa11nmw,st_areasha,st_lengths
7635,0,2,434293.3552146285,382596.3677056585,7636,E01007834,Sheffield 066D,Sheffield 066D,652749.9626895,4952.278002249953
7635,0,3,434345.06209416117,382632.18916025775,7636,E01007834,Sheffield 066D,Sheffield 066D,652749.9626895,4952.278002249953
7635,0,4,434403.81896493037,382637.08177786437,7636,E01007834,Sheffield 066D,Sheffield 066D,652749.9626895,4952.278002249953
7635,0,5,434452.0718862312,382563.89548940933,7636,E01007834,Sheffield 066D,Sheffield 066D,652749.9626895,4952.278002249953
7635,0,6,434587.0506078223,382568.9998577322,7636,E01007834,Sheffield 066D,Sheffield 066D,652749.9626895,4952.278002249953
7635,0,7,434598.80058613356,382560.2500051963,7636,E01007834,Sheffield 066D,Sheffield 066D,652749.9626895,4952.278002249953
7635,0,8,434644.1534993379,382537.5335411325,7636,E01007834,Sheffield 066D,Sheffield 066D,652749.9626895,4952.278002249953
7635,0,9,434677.07644795126,382479.4170617586,7636,E01007834,Sheffield 066D,Sheffield 066D,652749.9626895,4952.278002249953
7635,0,10,434731.84533321345,382487.43360077747,7636,E01007834,Sheffield 066D,Sheffield 066D,652749.9626895,4952.278002249953
7635,0,11,434684.33844889357,382422.79231471877,7636,E01007834,Sheffield 066D,Sheffield 066D,652749.9626895,4952.278002249953
7635,0,12,434702.05046174716,382248.0020497108,7636,E01007834,Sheffield 066D,Sheffield 066D,652749.9626895,4952.278002249953
7635,0,13,434662.0505520631,382219.00172209326,7636,E01007834,Sheffield 066D,Sheffield 066D,652749.9626895,4952.278002249953
7635,0,14,434679.0505324763,382165.0020698583,7636,E01007834,Sheffield 066D,Sheffield 066D,652749.9626895,4952.278002249953
7635,0,15,434600.9006969198,382150.61629254365,7636,E01007834,Sheffield 066D,Sheffield 066D,652749.9626895,4952.278002249953
7635,0,16,434499.97788367834,382222.10601411416,7636,E01007834,Sheffield 066D,Sheffield 066D,652749.9626895,4952.278002249953
7635,0,17,434583.1637639547,382042.8344375598,7636,E01007834,Sheffield 066D,Sheffield 066D,652749.9626895,4952.278002249953
7635,0,18,434529.52387447737,382040.9628748261,7636,E01007834,Sheffield 066D,Sheffield 066D,652749.9626895,4952.278002249953
7635,0,19,434615.98370150424,382025.7868381622,7636,E01007834,Sheffield 066D,Sheffield 066D,652749.9626895,4952.278002249953
7635,0,20,434570.0818259933,381918.766689936,7636,E01007834,Sheffield 066D,Sheffield 066D,652749.9626895,4952.278002249953
7635,0,21,434594.4487973893,381843.26719128585,7636,E01007834,Sheffield 066D,Sheffield 066D,652749.9626895,4952.278002249953
7635,0,22,434556.8218908567,381785.9409795272,7636,E01007834,Sheffield 066D,Sheffield 066D,652749.9626895,4952.278002249953
7635,0,23,434439.07011806953,381835.9435738787,7636,E01007834,Sheffield 066D,Sheffield 066D,652749.9626895,4952.278002249953
7635,0,24,434415.6191854421,381768.1685508332,7636,E01007834,Sheffield 066D,Sheffield 066D,652749.9626895,4952.278002249953
7635,0,25,434261.05140702036,381935.99730334216,7636,E01007834,Sheffield 066D,Sheffield 066D,652749.9626895,4952.278002249953
7635,0,26,434214.33849597606,381903.724899483,7636,E01007834,Sheffield 066D,Sheffield 066D,652749.9626895,4952.278002249953
7635,0,27,433870.81708395213,382168.7253356252,7636,E01007834,Sheffield 066D,Sheffield 066D,652749.9626895,4952.278002249953
7635,0,28,433852.34112095035,382192.25406708545,7636,E01007834,Sheffield 066D,Sheffield 066D,652749.9626895,4952.278002249953
7635,0,29,433812.4551890655,382148.368754117,7636,E01007834,Sheffield 066D,Sheffield 066D,652749.9626895,4952.278002249953
7635,0,30,433760.25125452474,381983.33164417243,7636,E01007834,Sheffield 066D,Sheffield 066D,652749.9626895,4952.278002249953
7635,0,31,433627.96748709196,381946.2993147414,7636,E01007834,Sheffield 066D,Sheffield 066D,652749.9626895,4952.278002249953
7635,0,32,433581.7755682724,381937.1708392129,7636,E01007834,Sheffield 066D,Sheffield 066D,652749.9626895,4952.278002249953
7635,0,33,433391.5729053205,382022.70948382263,7636,E01007834,Sheffield 066D,Sheffield 066D,652749.9626895,4952.278002249953
7635,0,34,433317.0530927776,382135.9873602441,7636,E01007834,Sheffield 066D,Sheffield 066D,652749.9626895,4952.278002249953
7635,0,35,433363.2730556039,382235.8375973894,7636,E01007834,Sheffield 066D,Sheffield 066D,652749.9626895,4952.278002249953
7635,0,36,433562.8626868897,382267.9606917737,7636,E01007834,Sheffield 066D,Sheffield 066D,652749.9626895,4952.278002249953
7635,0,37,433698.1894192684,382236.44825777353,7636,E01007834,Sheffield 066D,Sheffield 066D,652749.9626895,4952.278002249953
7635,0,38,433817.5592053792,382327.5543062891,7636,E01007834,Sheffield 066D,Sheffield 066D,652749.9626895,4952.278002249953
7635,0,39,433790.8762687045,382393.887829274,7636,E01007834,Sheffield 066D,Sheffield 066D,652749.9626895,4952.278002249953
7635,0,40,433931.52598974016,382469.0871472425,7636,E01007834,Sheffield 066D,Sheffield 066D,652749.9626895,4952.278002249953
7635,0,41,433909.0520441948,382570.992614304,7636,E01007834,Sheffield 066D,Sheffield 066D,652749.9626895,4952.278002249953
7635,0,42,433999.05185179034,382622.99344169284,7636,E01007834,Sheffield 066D,Sheffield 066D,652749.9626895,4952.278002249953
7635,0,43,434003.4848430291,382719.9702127696,7636,E01007834,Sheffield 066D,Sheffield 066D,652749.9626895,4952.278002249953
7635,0,44,434083.922664977,382654.32727057236,7636,E01007834,Sheffield 066D,Sheffield 066D,652749.9626895,4952.278002249953
7635,0,45,434242.6973232753,382602.3261396904,7636,E01007834,Sheffield 066D,Sheffield 066D,652749.9626895,4952.278002249953
7636,0,0,438165.89587784297,383060.451762973,7637,E01007835,Sheffield 062A,Sheffield 062A,601234.1135775,5149.453106424888
7636,0,1,438176.31789621356,383008.3437556467,7637,E01007835,Sheffield 062A,Sheffield 062A,601234.1135775,5149.453106424888
